id,product_code,product_weight_kg,fat_content,shelf_visibility,product_category,product_price,store_code,store_age_years,store_size,store_location_tier,store_format,total_sales,relative_category_price,relative_product_price
row_00059,PRD-UWE98S,7.621,Low Fat,0.0314,Frozen Foods,246.84,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,2697.04,1.8223298368349585,1.0337462622810765
row_00061,PRD-4CK9XH,12.451,Low Fat,0.1737,Household,169.29,STORE-JOR,34,Small,Tier_3,Corner Shop,166.62,1.1588402112262859,0.9873295910184443
row_00062,PRD-U02KQN,19.18,Low Fat,0.0263,Health And Hygiene,147.39,STORE-YLW,35,Small,Tier_1,Standard Supermarket,1326.0,1.2094747141068667,0.9701816745655608
row_00063,PRD-RACGN7,11.99,Low Fat,0.0571,Health And Hygiene,78.4,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,243.24,0.6540059189659063,0.9755187109217034
row_00064,PRD-IS25HB,7.502,Low Fat,0.0,Soft Drinks,124.36,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,2425.1,1.1460011491885211,1.0155360022865076
row_00065,PRD-I3MWRM,16.69,Low Fat,0.0332,Meat,162.93,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2781.85,1.0309157845835686,0.9815552989607912
row_00066,PRD-FVHC3D,17.643,Low Fat,0.0729,Seafood,34.86,STORE-9RG,28,Small,Tier_2,Standard Supermarket,860.12,0.2924146195326543,1.008097165991903
row_00067,PRD-1FT8J9,12.044,Low Fat,0.1446,Health And Hygiene,226.84,STORE-9RG,28,Small,Tier_2,Standard Supermarket,5075.98,1.8481937983761714,1.0061803235059288
row_00068,PRD-7MFP05,13.907,Low Fat,0.0347,Soft Drinks,39.85,STORE-9RG,28,Small,Tier_2,Standard Supermarket,785.78,0.29672540985895307,0.9772905630763196
row_00069,PRD-ULF5VL,5.676,Regular,0.0,Snack Foods,261.26,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,2506.74,1.812434299338056,1.003418212543688
row_00070,PRD-EPMKVT,19.59,Low Fat,0.0736,Health And Hygiene,60.89,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1368.79,0.44002099123357913,0.9908600254942908
row_00071,PRD-YUZ87C,15.13525,Low Fat,0.0478,Baking Goods,151.04,STORE-T5G,47,Small,Tier_1,Corner Shop,144.06,1.2688527344515694,1.0070899917764986
row_00072,PRD-D9DSYZ,14.405,Low Fat,0.0619,Household,250.9,STORE-9RG,28,Small,Tier_2,Standard Supermarket,4664.21,1.6432323496943504,0.9832583512297589
row_00073,PRD-S57TCO,5.483,Regular,0.0505,Baking Goods,130.41,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,1261.85,1.007690567744854,0.9938120132294889
row_00074,PRD-5I0GQM,18.504,Low Fat,0.1466,Breakfast,98.01,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1460.81,0.7453118583747775,0.9929336676544335
row_00075,PRD-7G23CP,8.884,Low Fat,0.0804,Canned,77.8,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1298.22,0.6132587123074998,0.9842121242789191
row_00076,PRD-UJA86V,19.146,Low Fat,0.1194,Canned,87.7,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1952.05,0.6608741892095558,0.9673505404809176
row_00077,PRD-FTNWN0,17.711,Low Fat,0.0,Breads,91.54,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,2233.42,0.748061348081778,0.9810484951326248
row_00078,PRD-1ZUYZY,9.031,Regular,0.0458,Fruits And Vegetables,174.82,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1322.14,1.2525296716102972,1.027515386617631
row_00080,PRD-SNF69T,9.157,Low Fat,0.0,Household,54.3,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,572.48,0.36173996663268143,0.9887108521485798
row_00081,PRD-RDEXW2,15.098,Regular,0.0558,Meat,144.58,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3219.23,1.0611523492515642,0.9916663808772591
row_00083,PRD-BJD8BL,9.783666666666669,Regular,0.0,Breads,85.12,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3126.13,0.6106590510878414,1.0047510844866763
row_00084,PRD-93OBAJ,8.128,Regular,0.0,Snack Foods,175.34,STORE-YLW,35,Small,Tier_1,Standard Supermarket,3970.56,1.2188923597553039,1.0030127373960795
row_00086,PRD-78ZC9Y,16.766,Low Fat,0.0566,Dairy,214.18,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,5062.54,1.511301293052395,0.986868174906695
row_00087,PRD-FUST21,5.421,Regular,0.1159,Baking Goods,87.2,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,1466.16,0.7388236743999754,0.9891107078039927
row_00088,PRD-CHPZ5T,18.844,Low Fat,0.0175,Health And Hygiene,205.61,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,2716.71,1.647758533274455,0.9727415374182917
row_00089,PRD-VKXTUF,20.911,Low Fat,0.023,Fruits And Vegetables,97.52,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3934.3,0.7385585334287132,1.0225973889791853
row_00090,PRD-ZOID71,15.05175,Regular,0.0881,Fruits And Vegetables,225.97,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1488.0,1.7113625081920256,1.0092992925033946
row_00092,PRD-VP8H4N,8.533,Low Fat,0.0938,Canned,53.71,STORE-YLW,35,Small,Tier_1,Standard Supermarket,1246.98,0.4071445492016867,1.0435494615299212
row_00093,PRD-6IUUKZ,10.933,Regular,0.0342,Frozen Foods,146.84,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,1888.59,1.0840662503680332,0.9994963039601401
row_00094,PRD-1UFH01,8.91,Regular,0.0832,Snack Foods,48.39,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,1109.47,0.3414692664555061,0.963688263409453
row_00095,PRD-YZB4K8,17.373,Regular,0.0172,Fruits And Vegetables,48.83,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1128.22,0.34985141210805865,1.015998150502832
row_00096,PRD-NY1QEG,9.136,Low Fat,0.0363,Frozen Foods,61.56,STORE-AGY,45,Large,Tier_3,Standard Supermarket,374.51,0.45161491313667695,0.9753160746538231
row_00097,PRD-EVZUBR,17.349,Low Fat,0.058,Frozen Foods,42.98,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,280.77,0.3085413505269179,1.0272875751902162
row_00098,PRD-2MR4FX,17.486,Low Fat,0.0182,Health And Hygiene,97.88,STORE-HL7,23,Medium,Tier_3,Superstore,1286.97,0.7839398265835568,1.0173578630080031
row_00099,PRD-1N8MTZ,19.413,Low Fat,0.0421,Dairy,44.58,STORE-JOR,34,Small,Tier_3,Corner Shop,47.21,0.2915603089263559,0.9723433955679637
row_00100,PRD-NKZGGE,13.66,Low Fat,0.0954,Snack Foods,151.97,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,3637.37,1.0542587478772272,1.0171340606385115
row_00101,PRD-1DSTWG,7.435,Low Fat,0.1465,Fruits And Vegetables,240.42,STORE-9RG,28,Small,Tier_2,Standard Supermarket,1735.6,1.7066653794388063,1.0018334861238436
row_00102,PRD-N5F62D,18.006,Low Fat,0.0134,Frozen Foods,255.56,STORE-HL7,23,Medium,Tier_3,Superstore,3686.12,1.7694167716174514,0.9908882943662519
row_00103,PRD-UP0URE,12.211,Regular,0.0746,Dairy,48.8,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,844.84,0.3443435572927298,1.010561192793539
row_00106,PRD-AECEW6,16.386,Regular,0.0083,Meat,70.84,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,716.68,0.5315456500254045,0.984675261493554
row_00107,PRD-3KI24S,17.395,Low Fat,0.0165,Household,177.44,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,3739.88,1.1875241278274955,0.9756634005256617
row_00108,PRD-JZZGKE,10.607,Regular,0.0485,Dairy,46.93,STORE-YLW,35,Small,Tier_1,Standard Supermarket,578.16,0.3269672101728481,0.969788394775996
row_00110,PRD-3UEA3G,15.576,Low Fat,0.1591,Dairy,37.05,STORE-YLW,35,Small,Tier_1,Standard Supermarket,623.16,0.2581320080311958,0.9941860465116279
row_00111,PRD-7IOABT,7.48,Low Fat,0.0867,Frozen Foods,144.11,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,3261.9,1.0639116544574863,0.9797878746673402
row_00112,PRD-O0V3Z0,20.2,Regular,0.1031,Canned,93.59,STORE-YLW,35,Small,Tier_1,Standard Supermarket,1961.44,0.7094518406215948,0.9953962562294884
row_00113,PRD-2X720K,5.73325,Regular,0.053,Fruits And Vegetables,87.27,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,995.49,0.6609311239983984,0.9986954133479814
row_00114,PRD-1GXI9D,13.170333333333332,Low Fat,0.065,Frozen Foods,181.19,STORE-T5G,47,Small,Tier_1,Corner Shop,185.03,1.3636926794060775,0.9973303976881793
row_00118,PRD-JJ4AL0,19.396,Low Fat,0.0419,Frozen Foods,111.52,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,2197.34,0.8233115516279151,1.017564669921073
row_00121,PRD-0RH735,19.53,Low Fat,0.1888,Others,240.8,STORE-YLW,35,Small,Tier_1,Standard Supermarket,3291.28,1.733399452913794,0.9962557663267206
row_00122,PRD-8NY9QX,17.181,Low Fat,0.1446,Snack Foods,149.82,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,2542.37,1.0572210270792297,1.022153780177581
row_00124,PRD-4CYXQB,17.936,Low Fat,0.112,Snack Foods,184.51,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,4911.57,1.2433058423421162,0.9970908501382522
row_00126,PRD-2EZP7V,12.766,Low Fat,0.0329,Health And Hygiene,101.7,STORE-JOR,34,Small,Tier_3,Corner Shop,206.34,0.7948914351815667,1.035307691002562
row_00127,PRD-UZET1P,13.252,Low Fat,0.0366,Fruits And Vegetables,170.03,STORE-9RG,28,Small,Tier_2,Standard Supermarket,3700.27,1.206989079385992,0.9710562085232269
row_00128,PRD-LZBZ98,18.435,Low Fat,0.1631,Health And Hygiene,43.87,STORE-9RG,28,Small,Tier_2,Standard Supermarket,793.55,0.3574337062897312,1.0122288878634056
row_00131,PRD-IE2L2F,21.019,Low Fat,0.0374,Frozen Foods,75.79,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2354.43,0.5890742619083705,1.0006931836936788
row_00133,PRD-1HOH9O,14.478,Low Fat,0.0259,Household,204.53,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,3771.21,1.398097609768591,1.0450666802922692
row_00135,PRD-M58TL5,7.293333333333334,Low Fat,0.051,Frozen Foods,54.96,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1120.28,0.43915075251245594,0.970124884162217
row_00136,PRD-TT69UA,7.509,Low Fat,0.0501,Canned,121.22,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,372.75,0.8206861844614401,0.9939188542848163
row_00137,PRD-MSK8AG,18.193,Low Fat,0.0,Dairy,187.28,STORE-AGY,45,Large,Tier_3,Standard Supermarket,2803.67,1.2273088284199614,1.0298125830545755
row_00138,PRD-H4CI9H,6.715,Regular,0.0,Meat,173.46,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,4356.0,1.3015515027301903,0.9691675901179845
row_00140,PRD-P3WJRM,12.925,Low Fat,0.0337,Fruits And Vegetables,199.66,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,6227.02,1.512106201644554,1.0069598547508574
row_00142,PRD-7CZE3S,7.372,Low Fat,0.0142,Meat,114.95,STORE-HL7,23,Medium,Tier_3,Superstore,1779.63,0.8305692099612308,0.989469757833123
row_00143,PRD-M3FQUK,9.115,Regular,0.0213,Snack Foods,155.39,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,2449.63,1.0470830569700365,0.9780337361530714
row_00145,PRD-EBEM2I,12.42,Regular,0.1014,Fruits And Vegetables,168.87,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2499.05,1.0832361799281065,0.9772098181993539
row_00146,PRD-48PPNK,19.411,Low Fat,0.0159,Health And Hygiene,133.98,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,3139.66,1.0462967335122821,1.0176211453744493
row_00147,PRD-ZN1N5R,12.006,Regular,0.0335,Meat,198.96,STORE-9RG,28,Small,Tier_2,Standard Supermarket,3195.63,1.3278663276027889,1.0081155259046573
row_00148,PRD-12310X,8.348,Low Fat,0.0148,Health And Hygiene,182.18,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,2867.62,1.4599905140408551,1.007451647242614
row_00149,PRD-7TV5ZK,7.03,Regular,0.1341,Canned,113.25,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,3085.94,0.8289724426446725,1.0262180203582323
row_00150,PRD-FF5E8I,15.91,Low Fat,0.0683,Soft Drinks,180.97,STORE-T5G,47,Small,Tier_1,Corner Shop,184.24,1.318066636521718,1.0049980563114345
row_00151,PRD-IGBM76,9.755,Regular,0.0459,Baking Goods,37.48,STORE-YLW,35,Small,Tier_1,Standard Supermarket,737.01,0.28712343958617564,1.0296703296703296
row_00152,PRD-MWWJPG,13.009,Low Fat,0.1565,Canned,79.3,STORE-HL7,23,Medium,Tier_3,Superstore,1199.85,0.5972531650797738,1.0364658214612468
row_00154,PRD-C2W953,17.489,Regular,0.0685,Snack Foods,92.8,STORE-JOR,34,Small,Tier_3,Corner Shop,198.35,0.6153919609120002,0.9534450651769087
row_00155,PRD-X7CODR,19.3805,Low Fat,0.0149,Household,102.74,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1804.48,0.7372497903758686,1.0124910690088447
row_00156,PRD-WTXI27,13.205666666666668,Low Fat,0.1305,Dairy,72.89,STORE-T5G,47,Small,Tier_1,Corner Shop,77.28,0.5360750956094971,0.9744001069447229
row_00158,PRD-2OQEWF,18.016,Low Fat,0.0347,Others,129.81,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1866.97,0.8673621659665645,0.982664647993944
row_00159,PRD-WJRNZT,16.82,Low Fat,0.0406,Household,166.17,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,1295.84,1.1358816790458455,1.0019294543261983
row_00160,PRD-WU16HY,8.621,Low Fat,0.187,Dairy,43.61,STORE-T5G,47,Small,Tier_1,Corner Shop,125.45,0.3207330898549893,1.0257556156650594
row_00161,PRD-74W4G2,15.839,Regular,0.0159,Frozen Foods,96.87,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,1093.52,0.7182100091205978,0.9862553451435552
row_00163,PRD-RYI0M7,10.286,Low Fat,0.0748,Frozen Foods,122.93,STORE-YLW,35,Small,Tier_1,Standard Supermarket,843.09,0.9554677268293441,1.0091946474016913
row_00164,PRD-9QWB0H,6.6135,Low Fat,0.0242,Breads,104.57,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1981.4,0.7501952181890925,1.006521163702866
row_00165,PRD-AV3JCJ,17.612,Regular,0.1199,Breakfast,42.25,STORE-HL7,23,Medium,Tier_3,Superstore,198.97,0.30929948242666494,1.0370006749708536
row_00166,PRD-B9UOE3,21.054,Low Fat,0.1617,Snack Foods,181.51,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,5603.33,1.296940506031932,1.0159899992536756
row_00167,PRD-NMRS5Y,8.178,Low Fat,0.0,Baking Goods,94.07,STORE-HL7,23,Medium,Tier_3,Superstore,647.35,0.7409005057336167,1.011315075120273
row_00168,PRD-QWRZFX,6.586,Regular,0.0064,Baking Goods,118.14,STORE-HL7,23,Medium,Tier_3,Superstore,1414.6,0.9304771526243167,0.9746318524935034
row_00169,PRD-K9LSG4,20.883,Low Fat,0.0537,Snack Foods,118.62,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1884.91,0.8188401922838752,1.0067045743868284
row_00170,PRD-2LYWBI,7.379,Low Fat,0.156,Snack Foods,91.51,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3801.19,0.6538649424658812,0.9758724572769202
row_00171,PRD-KSF4HT,11.816,Low Fat,0.0336,Seafood,113.26,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1662.15,1.0664783427495292,1.0194419441944196
row_00172,PRD-F88JRF,18.676,Regular,0.0634,Frozen Foods,146.35,STORE-HL7,23,Medium,Tier_3,Superstore,2030.62,1.0132812041251136,1.00066665527085
row_00173,PRD-PWKCZV,7.676,Low Fat,0.0312,Fruits And Vegetables,226.03,STORE-T5G,47,Small,Tier_1,Corner Shop,446.31,1.5975467239893884,0.9725206167084978
row_00174,PRD-A0IOEJ,8.074,Low Fat,0.0111,Canned,193.3,STORE-YLW,35,Small,Tier_1,Standard Supermarket,1877.98,1.4652958734069268,1.011067871788434
row_00175,PRD-YUXGFA,11.2685,Regular,0.0374,Snack Foods,109.83,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1428.31,0.7847665460717707,1.027184587087321
row_00176,PRD-YVZMZC,8.093,Low Fat,0.1141,Household,103.92,STORE-HL7,23,Medium,Tier_3,Superstore,2500.23,0.7152018191725857,0.9943070372673779
row_00177,PRD-3HGG9C,20.645,Low Fat,0.0964,Household,183.27,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,3687.75,1.2527714708956619,0.9775703427123618
row_00178,PRD-LKS9L3,6.179,Regular,0.0519,Baking Goods,231.15,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,4318.28,1.7861182020874398,1.0201964920952977
row_00179,PRD-US5PUY,14.35,Low Fat,0.069,Fruits And Vegetables,48.02,STORE-YLW,35,Small,Tier_1,Standard Supermarket,848.18,0.30802985349764717,0.9852854965412122
row_00180,PRD-D9DSYZ,14.908,Low Fat,0.1001,Household,260.63,STORE-JOR,34,Small,Tier_3,Corner Shop,1830.37,1.784089575591629,1.0213894941451258
row_00181,PRD-2QPR75,14.061,Low Fat,0.1593,Dairy,55.03,STORE-JOR,34,Small,Tier_3,Corner Shop,215.7,0.3599049753301338,0.9979145888113156
row_00182,PRD-PQNOMP,16.953,Low Fat,0.0572,Baking Goods,96.66,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1580.04,0.7885197679384625,0.9572192513368984
row_00183,PRD-W10HOA,6.6451666666666656,Low Fat,0.0424,Snack Foods,95.34,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,2866.92,0.6812313803376365,1.0370612092676332
row_00184,PRD-6BH3LL,17.94,Low Fat,0.0785,Baking Goods,111.11,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2509.35,0.8511815734370326,0.9980836602090007
row_00185,PRD-YZSJHT,9.578500000000002,Regular,0.0216,Breads,104.6,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,3091.16,0.7504104410689403,1.0256711968778804
row_00186,PRD-1GXI9D,13.222,Low Fat,0.0598,Frozen Foods,177.97,STORE-JOR,34,Small,Tier_3,Corner Shop,184.57,1.3480533252537497,0.9796064400715563
row_00187,PRD-CU4YYJ,15.513,Low Fat,0.0798,Canned,38.05,STORE-OYG,25,Medium,Tier_2,Standard Supermarket,766.14,0.2785201010386736,0.979071961574749
row_00188,PRD-R3PE29,5.58525,Low Fat,0.1776,Soft Drinks,150.8,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1808.1,1.3896507984691944,1.0208732934672233
row_00190,PRD-OEVB9O,6.24,Low Fat,0.0282,Soft Drinks,85.11,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1334.36,0.726435945122773,0.9903420991389341
row_00191,PRD-JMV47T,6.335,Regular,0.0102,Meat,152.3,STORE-DKU,30,Medium,Tier_2,Standard Supermarket,2400.39,1.0251171394947913,1.0146568954030648
row_00193,PRD-741NWE,9.695,Regular,0.1438,Baking Goods,49.26,STORE-YLW,35,Small,Tier_1,Standard Supermarket,838.54,0.37736661243369835,0.9882041405873856
